Robust Computer-Aided Detection of Pulmonary Nodules from Chest Computed Tomography,5,https://www.ingentaconnect.com/contentone/asp/jmihi/2016/00000006/00000003/art00015
A generalized framework for medical image classification and recognition,19,https://ieeexplore.ieee.org/abstract/document/7094962/
Adaptive Enhancement Technique for Cancerous Lung Nodule in Computed Tomography Images,1,http://www.enggjournals.com/ijet/docs/IJET16-08-03-406.pdf
Defining a Radiomic Response Phenotype: A Pilot Study using targeted therapy in NSCLC,40,https://www.nature.com/articles/srep33860
Decoding tumour phenotype by noninvasive imaging using a quantitative radiomics approach,1025,https://www.nature.com/articles/ncomms5006
Decoding tumour phenotype by noninvasive imaging using a quantitative radiomics approach,1025,https://www.nature.com/articles/ncomms5006
Patient-Wise Versus Nodule-Wise Classification of Annotated Pulmonary Nodules using Pathologically Confirmed Cases,5,http://www.jcomputers.us/vol8/jcp0809-13.pdf
Robust Image Denoising with Multi-Column Deep Neural Networks,60,https://ieeexplore.ieee.org/abstract/document/7018004/
Adaptive Multi-Column Deep Neural Networks with Application to Robust Image Denoising,118,http://papers.nips.cc/paper/5030-adaptive-multi-column-deep-neural-networks-with-application-to-robust-image-denoising
Tumor Lesion Segmentation from 3D PET Using a Machine Learning Driven Active Surface,4,https://link.springer.com/chapter/10.1007/978-3-319-47157-0_33
Increased robustness in reference region model analysis of DCE MRI using two‐step constrained approaches,1,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.26530
An extended reference region model for DCE‐MRI that accounts for plasma volume,0,https://onlinelibrary.wiley.com/doi/abs/10.1002/nbm.3924
"GLISTRboost: Combining Multimodal MRI Segmentation, Registration, and Biophysical Tumor Growth Modeling with Gradient Boosting Machines for Glioma Segmentation",24,https://link.springer.com/chapter/10.1007/978-3-319-30858-6_13
A review of lung cancer screening and the role of computer-aided detection,23,https://www.sciencedirect.com/science/article/pii/S0009926017300296
Breast Cancer Diagnostic System Based on MR images Using KPCA-Wavelet Transform and Support Vector Machine,0,http://ijaers.com/uploads/issue_files/41%20IJAERS-MAR-2017-58-Breast%20Cancer%20Diagnostic%20System%20Based%20on%20MR.pdf
Quantitative assessment of colorectal morphology: Implications for robotic colonoscopy,11,https://www.sciencedirect.com/science/article/pii/S1350453315002763
Deep learning for segmentation of brain tumors: Impact of cross-institutional training and testing,5,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1002/mp.12752
Self-organizing Approach to Learn a Level-set Function for Object Segmentation in Complex Background Environments,0,http://rave.ohiolink.edu/etdc/view?acc_num=dayton1429545327
Automatic intensity windowing of mammographic images based on a perceptual metric,0,https://onlinelibrary.wiley.com/doi/abs/10.1002/mp.12144
Radiogenomics in renal cell carcinoma,0,https://link.springer.com/content/pdf/10.1007/s00261-018-1624-y.pdf
SurfCut: Surfaces of Minimal Paths From Topological Structures,0,https://ieeexplore.ieee.org/abstract/document/8306823/
Robust Detection of Circles in the Vessel Contours and Application to Local Probability Density Estimation,3,https://link.springer.com/chapter/10.1007/978-3-319-67534-3_1
Breast Cancer Response Prediction in Neoadjuvant Chemotherapy Treatment Based on Texture Analysis,2,http://dlibrary.univ-boumerdes.dz:8080/handle/123456789/3182
Application of Fuzzy c-means and Neural networks to categorize tumor affected breast MR Images,4,https://pdfs.semanticscholar.org/a8da/6d668deb7d7c3393a53d0efef23db53b8737.pdf
"Imaging Genomics in Glioblastoma Multiforme: A Predictive Tool for Patients Prognosis, Survival, and Outcome",3,https://www.mri.theclinics.com/article/S1064-9689(16)30051-4/abstract
Lung nodule detection using 3D convolutional neural networks trained on weakly labeled data,33,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/9785/978532/Lung-nodule-detection-using-3D-convolutional-neural-networks-trained-on/10.1117/12.2214876.short
Brain tumour classification using two-tier classifier with adaptive segmentation technique,46,https://ieeexplore.ieee.org/abstract/document/7383396/
Fast wavelet based image characterization for content based medical image retrieval,4,https://ieeexplore.ieee.org/abstract/document/7918956/
Beyin MR Görüntülerinden Bilgisayar Destekli Tümör Teşhisi Sistemi Computer-aided Tumor Detection System Using Brain MR Images,4,https://ieeexplore.ieee.org/abstract/document/7374544/
The lung image database consortium (LIDC) and image database resource initiative (IDRI): a completed reference database of lung nodules on CT scans,546,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1118/1.3528204
Collaborative projects,307,https://www.sciencedirect.com/science/article/pii/S0048733313001212
SPIE-AAPM-NCI Lung Nodule Classification Challenge Dataset,,
Special Section Guest Editorial: LUNGx Challenge for computerized lung nodule classification: reflections and lessons learned,20,https://www.spiedigitallibrary.org/journals/Journal-of-Medical-Imaging/volume-2/issue-2/020103/Special-Section-Guest-Editorial--LUNGx-Challenge-for-computerized-lung/10.1117/1.JMI.2.2.020103.short
Computer Aided Detection Scheme To Improve The Prognosis Assessment Of Early Stage Lung Cancer Patients,0,https://www.irjet.net/archives/V5/i4/IRJET-V5I4269.pdf
Radiogenomics of clear cell renal cell carcinoma: preliminary findings of The Cancer Genome Atlas–Renal Cell Carcinoma (TCGA–RCC) Imaging Research Group,47,https://link.springer.com/article/10.1007/s00261-015-0386-z
Analysis of dual tree M‐band wavelet transform based features for brain image classification,1,https://onlinelibrary.wiley.com/doi/abs/10.1002/mrm.27210
Analysis of Classification Methods for Diagnosis of Pulmonary Nodules in CT Images,0,http://ijesc.org/upload/1df8c3f7f195a3c8f366f1550463dc6f.Analysis%20of%20%20Classification%20Methods%20for%20Diagnosis%20of%20Pulmonary%20Nodules%20in%20CT%20Images.pdf
Detection of Brain Tumour in MRI Scan Images using Tetrolet Transform and SVM Classifier,1,http://www.indjst.org/index.php/indjst/article/view/113721
BIOMEDICAL IMAGE RETRIEVAL USING LBWP,0,https://irjet.net/archives/V4/i9/IRJET-V4I9147.pdf
Imaging genomics in cancer research: limitations and promises,28,https://www.birpublications.org/doi/abs/10.1259/bjr.20151030
BraTS Multimodal Brain Tumor Segmetation Challenge,,
Test–Retest Reproducibility Analysis of Lung CT Image Features,85,https://link.springer.com/article/10.1007/s10278-014-9716-x
A New Adaptive-Weighted Fusion Rule for Wavelet based PET/CT Fusion,1,https://www.researchgate.net/profile/Ramiah_Barani/publication/311590630_A_New_Adaptive-Weighted_Fusion_Rule_for_Wavelet_based_PETCT_Fusion/links/584fe90508aed95c250b4db4.pdf
Removing Mixture Noise from Medical Images Using Block Matching Filtering and Low-Rank Matrix Completion,2,https://www.computer.org/csdl/proceedings/hisb/2012/4921/00/4921a134-abs.html
Anatomical DCE-MRI phantoms generated from glioma patient data,0,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10573/105732V/Anatomical-DCE-MRI-phantoms-generated-from-glioma-patient-data/10.1117/12.2294961.short
Multi‐site quality and variability analysis of 3D FDG PET segmentations based on phantom and clinical image data,7,https://onlinelibrary.wiley.com/doi/abs/10.1002/mp.12041
Radiogenomic analysis of hypoxia pathway is predictive of overall survival in Glioblastoma,5,https://www.nature.com/articles/s41598-017-18310-0
Radiogenomic analysis of hypoxia pathway reveals computerized MRI descriptors predictive of overall survival in Glioblastoma,3,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10134/1/Radiogenomic-analysis-of-hypoxia-pathway-reveals-computerized-MRI-descriptors-predictive/10.1117/12.2255694.short
Automatic Design of Window Operators for the Segmentation of the Prostate Gland in Magnetic Resonance Images,0,https://link.springer.com/chapter/10.1007/978-3-319-13117-7_107
Overview of the American Society for Radiation Oncology–National Institutes of Health–American Association of Physicists in Medicine Workshop 2015: Exploring Opportunities for Radiation Oncology in the Era of Big Data,,
